Country.Code,Country Name,Year,DEMOC,AUTOC,POLITY,POLITY2
DEN,Denmark,1994,10,0,10,10
DEN,Denmark,1995,10,0,10,10
DEN,Denmark,1996,10,0,10,10
DEN,Denmark,1997,10,0,10,10
DEN,Denmark,1998,10,0,10,10
DEN,Denmark,1999,10,0,10,10
DEN,Denmark,2000,10,0,10,10
DEN,Denmark,2001,10,0,10,10
DEN,Denmark,2002,10,0,10,10
DEN,Denmark,2003,10,0,10,10
DEN,Denmark,2004,10,0,10,10
DEN,Denmark,2005,10,0,10,10
DEN,Denmark,2006,10,0,10,10
DEN,Denmark,2007,10,0,10,10
DEN,Denmark,2008,10,0,10,10
DEN,Denmark,2009,10,0,10,10
DEN,Denmark,2010,10,0,10,10
CAP,Cape Verde,1975,2,6,-4,-4
CAP,Cape Verde,1976,2,6,-4,-4
CAP,Cape Verde,1977,2,6,-4,-4
CAP,Cape Verde,1978,2,6,-4,-4
CAP,Cape Verde,1979,2,6,-4,-4
CAP,Cape Verde,1980,2,6,-4,-4
CAP,Cape Verde,1981,2,6,-4,-4
CAP,Cape Verde,1982,2,6,-4,-4
CAP,Cape Verde,1983,2,6,-4,-4
CAP,Cape Verde,1984,2,6,-4,-4
CAP,Cape Verde,1985,2,5,-3,-3
CAP,Cape Verde,1986,2,5,-3,-3
CAP,Cape Verde,1987,2,5,-3,-3
CAP,Cape Verde,1988,2,5,-3,-3
CAP,Cape Verde,1989,2,5,-3,-3
CAP,Cape Verde,1990,2,4,-2,-2
CAP,Cape Verde,1991,8,0,8,8
CAP,Cape Verde,1992,8,0,8,8
CAP,Cape Verde,1993,8,0,8,8
CAP,Cape Verde,1994,8,0,8,8
CAP,Cape Verde,1995,8,0,8,8
CAP,Cape Verde,1996,8,0,8,8
CAP,Cape Verde,1997,8,0,8,8
CAP,Cape Verde,1998,8,0,8,8
CAP,Cape Verde,1999,8,0,8,8
CAP,Cape Verde,2000,8,0,8,8
CAP,Cape Verde,2001,10,0,10,10
CAP,Cape Verde,2002,10,0,10,10
CAP,Cape Verde,2003,10,0,10,10
CAP,Cape Verde,2004,10,0,10,10
CAP,Cape Verde,2005,10,0,10,10
CAP,Cape Verde,2006,10,0,10,10
CAP,Cape Verde,2007,10,0,10,10
CAP,Cape Verde,2008,10,0,10,10
CAP,Cape Verde,2009,10,0,10,10
